City,Country,Latitude,Longitude,Timezone
Mirdif,Asia,25.22443,55.41412,Asia/Dubai
Hawr al ‘Anz,Asia,25.27744,55.33675,Asia/Dubai
Mankhūl,Asia,25.24612,55.29222,Asia/Dubai
Būr Sa‘īd,Asia,25.261,55.33016,Asia/Dubai
Nāyf,Asia,25.27139,55.30323,Asia/Dubai
Al Murar al Qadīm,Asia,25.27576,55.30738,Asia/Dubai
Ar Riqqah,Asia,25.26797,55.31272,Asia/Dubai
Al Warqaa,Asia,25.19272,55.42013,Asia/Dubai
International City,Asia,25.16383,55.40987,Asia/Dubai
Dubai Marina,Asia,25.08525,55.14646,Asia/Dubai
Dubai Sports City,Asia,25.03878,55.21725,Asia/Dubai
Dubai Internet City,Asia,25.09538,55.16171,Asia/Dubai
Al Safa,Asia,25.17047,55.23336,Asia/Dubai
Ar Rumaylah,Asia,25.40338,55.4334,Asia/Dubai
Mushayrif,Asia,25.40977,55.47106,Asia/Dubai
Al Jurf,Asia,25.41814,55.50791,Asia/Dubai
Al Majaz,Asia,25.32354,55.38774,Asia/Dubai
As Saţwah Sharq,Asia,25.23796,55.28678,Asia/Dubai
Dubai Festival City,Asia,25.22177,55.35733,Asia/Dubai
Dubai International Financial Centre,Asia,25.2106,55.27787,Asia/Dubai
Downtown Dubai,Asia,25.19408,55.2781,Asia/Dubai
Dubai Investments Park,Asia,25.00827,55.15682,Asia/Dubai
Jebel Ali,Asia,25.00255,55.10811,Asia/Dubai
Bani Yas City,Asia,24.30978,54.62944,Asia/Dubai
Musaffah,Asia,24.35893,54.48267,Asia/Dubai
Al Shamkhah City,Asia,24.39268,54.70779,Asia/Dubai
Reef Al Fujairah City,Asia,25.14479,56.24764,Asia/Dubai
Sha'biyyat Al Hiyar,Asia,24.58242,55.7467,Asia/Dubai
Umm Al Sheif,Asia,25.13227,55.20567,Asia/Dubai
Al Bada'a,Asia,25.22462,55.26888,Asia/Dubai
Al Muteena,Asia,25.27375,55.32265,Asia/Dubai
Al Mizhar First,Asia,25.24805,55.44128,Asia/Dubai
Al Mizhar Second,Asia,25.24332,55.4619,Asia/Dubai
Dubai Silicon Oasis,Asia,25.11985,55.38718,Asia/Dubai
Dubai Motor City,Asia,25.04593,55.24102,Asia/Dubai
DAMAC Hills,Asia,25.02924,55.25277,Asia/Dubai
Al Furjan,Asia,25.02651,55.14565,Asia/Dubai
Business Bay,Asia,25.18544,55.26969,Asia/Dubai
Al Qusais 1,Asia,25.27925,55.36995,Asia/Dubai
Al Twar 3,Asia,25.25159,55.39408,Asia/Dubai
Al Khabaisi,Asia,25.26628,55.33379,Asia/Dubai
Al Khawaneej 1,Asia,25.24882,55.48545,Asia/Dubai
Halwan,Asia,25.34586,55.42165,Asia/Dubai
Al Sajaah,Asia,25.31532,55.63211,Asia/Dubai
Lahbab,Asia,25.03763,55.59135,Asia/Dubai
Al Madam,Asia,24.97355,55.77781,Asia/Dubai
Mohammed Bin Zayed City,Asia,24.34794,54.55368,Asia/Dubai
Masdar City,Asia,24.43208,54.61582,Asia/Dubai
Kuhsān,Asia,34.65389,61.19778,Asia/Kabul
Tukzār,Asia,35.94831,66.42132,Asia/Kabul
Zindah Jān,Asia,34.34264,61.74675,Asia/Kabul
Zarghūn Shahr,Asia,32.84734,68.44573,Asia/Kabul
Zaṟah Sharan,Asia,33.14641,68.79213,Asia/Kabul
Zaranj,Asia,30.95962,61.86037,Asia/Kabul
Yangī Qal‘ah,Asia,37.46572,69.61131,Asia/Kabul
Bāzār-e Yakāwlang,Asia,34.73525,66.97379,Asia/Kabul
Tīr Pul,Asia,34.59431,61.26895,Asia/Kabul
Tarinkot,Asia,32.62998,65.87806,Asia/Kabul
Taloqan,Asia,36.73605,69.53451,Asia/Kabul
Tagāw-Bāy,Asia,35.69941,66.06164,Asia/Kabul
Tagāb,Asia,34.85501,69.64917,Asia/Kabul
Shīnḏanḏ,Asia,33.30294,62.1474,Asia/Kabul
Shibirghān,Asia,36.66757,65.7529,Asia/Kabul
Shahrak,Asia,34.10737,64.3052,Asia/Kabul
Sidqābād,Asia,35.02298,69.35112,Asia/Kabul
Sar-e Pul,Asia,36.21544,65.93249,Asia/Kabul
Sangīn,Asia,32.07275,64.8359,Asia/Kabul
Sang-e Chārak,Asia,35.84972,66.43694,Asia/Kabul
Aībak,Asia,36.26468,68.01551,Asia/Kabul
Rūdbār,Asia,30.15,62.6,Asia/Kabul
Rustāq,Asia,37.12604,69.83045,Asia/Kabul
Qarqīn,Asia,37.41853,66.04358,Asia/Kabul
Qarchī Gak,Asia,37.03999,66.78891,Asia/Kabul
Qarāwul,Asia,37.21959,68.7802,Asia/Kabul
Qarah Bāgh,Asia,34.94023,61.77589,Asia/Kabul
Qala i Naw,Asia,34.98735,63.12891,Asia/Kabul
Qal‘ah-ye Shahr,Asia,35.54729,65.5676,Asia/Kabul
Qalāt,Asia,32.10575,66.90833,Asia/Kabul
Pārūn,Asia,35.42064,70.92261,Asia/Kabul
Pul-e Khumrī,Asia,35.94458,68.71512,Asia/Kabul
Pul-e ‘Alam,Asia,33.99529,69.02274,Asia/Kabul
Panjāb,Asia,34.38795,67.02327,Asia/Kabul
Paghmān,Asia,34.58787,68.95091,Asia/Kabul
Uruzgān,Asia,32.92775,66.63253,Asia/Kabul
Nīlī,Asia,33.72178,66.13023,Asia/Kabul
Nahrīn,Asia,36.0649,69.13343,Asia/Kabul
Mīr Bachah Kōṯ,Asia,34.74999,69.11899,Asia/Kabul
Mīrābād,Asia,30.43624,61.8383,Asia/Kabul
Maymana,Asia,35.92139,64.78361,Asia/Kabul
Mehtar Lām,Asia,34.67139,70.20944,Asia/Kabul
Mazār-e Sharīf,Asia,36.70904,67.11087,Asia/Kabul
Lashkar Gāh,Asia,31.59382,64.37161,Asia/Kabul
Larkird,Asia,35.48936,66.66409,Asia/Kabul
Kushk,Asia,33.29565,61.95221,Asia/Kabul
Kunduz,Asia,36.72895,68.857,Asia/Kabul
Khōst,Asia,33.33951,69.92041,Asia/Kabul
Khulm,Asia,36.69736,67.69826,Asia/Kabul
Khāsh,Asia,31.52919,62.79055,Asia/Kabul
Khān Neshīn,Asia,30.5488,63.7888,Asia/Kabul
Khandūd,Asia,36.95127,72.318,Asia/Kabul
Khanabad,Asia,36.68304,69.11279,Asia/Kabul
Karukh,Asia,34.48108,62.5863,Asia/Kabul
Kandahār,Asia,31.61332,65.71013,Asia/Kabul
Kabul,Asia,34.52813,69.17233,Asia/Kabul
Jurm,Asia,36.86477,70.83421,Asia/Kabul
Jalālābād,Asia,34.42647,70.45153,Asia/Kabul
Jabal os Saraj,Asia,35.11833,69.23778,Asia/Kabul
Herāt,Asia,34.34817,62.19967,Asia/Kabul
Ghormach,Asia,35.73062,63.78264,Asia/Kabul
Ghazni,Asia,33.55391,68.42096,Asia/Kabul
Gereshk,Asia,31.82089,64.57005,Asia/Kabul
Gardez,Asia,33.59744,69.22592,Asia/Kabul
Fayzabad,Asia,37.11664,70.58002,Asia/Kabul
Farkhār,Asia,36.57288,69.85783,Asia/Kabul
Farah,Asia,32.37451,62.11638,Asia/Kabul
Eslam Qaleh,Asia,34.66667,61.06667,Asia/Kabul
Imām Şāḩib,Asia,37.18897,68.93644,Asia/Kabul
Dasht-e Archī,Asia,37.13333,69.16667,Asia/Kabul
Darzāb,Asia,35.97744,65.37828,Asia/Kabul
Markaz-e Ḩukūmat-e Darwēshān,Asia,31.13231,64.1934,Asia/Kabul
Chīras,Asia,35.41674,65.98234,Asia/Kabul
Charikar,Asia,35.01361,69.17139,Asia/Kabul
Chahār Burj,Asia,34.24475,62.19165,Asia/Kabul
Fayrōz Kōh,Asia,34.51952,65.25093,Asia/Kabul
Muhmand Dara,Asia,34.24749,70.87218,Asia/Kabul
Baraki Barak,Asia,33.96744,68.9492,Asia/Kabul
Bāmyān,Asia,34.82156,67.82734,Asia/Kabul
Balkh,Asia,36.75635,66.8972,Asia/Kabul
Baghlān,Asia,36.13068,68.70829,Asia/Kabul
Ḩukūmatī Azrah,Asia,34.17355,69.64573,Asia/Kabul
Ārt Khwājah,Asia,37.08571,69.47958,Asia/Kabul
Āsmār,Asia,35.03333,71.35809,Asia/Kabul
Ashkāsham,Asia,36.68333,71.53333,Asia/Kabul
Asadābād,Asia,34.87311,71.14697,Asia/Kabul
Andkhōy,Asia,36.95293,65.12376,Asia/Kabul
Anār Darah,Asia,32.7587,61.65397,Asia/Kabul
‘Alāqahdārī Dīshū,Asia,30.43206,63.29802,Asia/Kabul
Bāzārak,Asia,35.31292,69.51519,Asia/Kabul
Maydanshakhr,Asia,34.39561,68.86618,Asia/Kabul
Markaz-e Woluswalī-ye Āchīn,Asia,34.12583,70.70778,Asia/Kabul
Sharan,Asia,33.17568,68.73045,Asia/Kabul
Saint John’s,America,17.12096,-61.84329,America/Antigua
Piggotts,America,17.11667,-61.8,America/Antigua
Parham,America,17.09682,-61.77046,America/Antigua
Falmouth,America,17.02741,-61.78136,America/Antigua
Codrington,America,17.6394,-61.82437,America/Antigua
Bolands,America,17.06565,-61.87466,America/Antigua
West End Village,America,18.17191,-63.14941,America/Anguilla
The Valley,America,18.21704,-63.05783,America/Anguilla
The Quarter,America,18.20799,-63.04178,America/Anguilla
Farrington,America,18.215,-63.02238,America/Anguilla
Stoney Ground,America,18.22026,-63.04607,America/Anguilla
South Hill Village,America,18.19201,-63.08779,America/Anguilla
Sandy Ground Village,America,18.20118,-63.08998,America/Anguilla
North Side,America,18.22919,-63.04401,America/Anguilla
North Hill Village,America,18.20542,-63.07847,America/Anguilla
Island Harbour,America,18.25601,-63.0102,America/Anguilla
George Hill,America,18.19939,-63.0665,America/Anguilla
East End Village,America,18.23333,-63,America/Anguilla
Blowing Point Village,America,18.17648,-63.09375,America/Anguilla
Sandy Hill,America,18.22104,-63.01329,America/Anguilla
Sarandë,Europe,39.87534,20.00477,Europe/Tirane
Tepelenë,Europe,40.29583,20.01917,Europe/Tirane
Shupenzë,Europe,41.53,20.42361,Europe/Tirane
Rajcë,Europe,41.09028,20.57639,Europe/Tirane
Përrenjas,Europe,41.07306,20.54889,Europe/Tirane
Pogradec,Europe,40.9025,20.6525,Europe/Tirane
Peshkopi,Europe,41.685,20.42889,Europe/Tirane
Përmet,Europe,40.23361,20.35167,Europe/Tirane
Kukës,Europe,42.07694,20.42194,Europe/Tirane
Krumë,Europe,42.19694,20.41333,Europe/Tirane
Korçë,Europe,40.61861,20.78083,Europe/Tirane
Klos,Europe,41.50694,20.08667,Europe/Tirane
Hotolisht,Europe,41.15667,20.39722,Europe/Tirane
Gramsh,Europe,40.86972,20.18444,Europe/Tirane
Gjirokastër,Europe,40.07583,20.13889,Europe/Tirane
Ersekë,Europe,40.33778,20.67889,Europe/Tirane
Elbasan,Europe,41.1125,20.08222,Europe/Tirane
Burrel,Europe,41.61028,20.00889,Europe/Tirane
Bulqizë,Europe,41.49167,20.22194,Europe/Tirane
Bilisht,Europe,40.6275,20.99,Europe/Tirane
Librazhd-Qendër,Europe,41.19694,20.33556,Europe/Tirane
Zharrëz,Europe,40.70917,19.64972,Europe/Tirane
Zall-Herr,Europe,41.38944,19.8275,Europe/Tirane
Xhafzotaj,Europe,41.34444,19.5475,Europe/Tirane
Vlorë,Europe,40.4686,19.48318,Europe/Tirane
Velabisht,Europe,40.70167,19.93222,Europe/Tirane
Ura Vajgurore,Europe,40.76889,19.87778,Europe/Tirane
Tirana,Europe,41.3275,19.81889,Europe/Tirane
Shkodër,Europe,42.06828,19.51258,Europe/Tirane
Shijak,Europe,41.34556,19.56722,Europe/Tirane
Selenicë,Europe,40.53056,19.63583,Europe/Tirane
Rrogozhinë,Europe,41.07639,19.66528,Europe/Tirane
Rrëshen,Europe,41.7675,19.87556,Europe/Tirane
Roskovec,Europe,40.7375,19.70222,Europe/Tirane
Pukë,Europe,42.04444,19.89972,Europe/Tirane
Poshnjë,Europe,40.78028,19.84417,Europe/Tirane
Petrelë,Europe,41.25306,19.85306,Europe/Tirane
Perondi,Europe,40.77889,19.92306,Europe/Tirane
Peqin,Europe,41.04611,19.75111,Europe/Tirane
Patos Fshat,Europe,40.64278,19.65083,Europe/Tirane
Patos,Europe,40.68333,19.61944,Europe/Tirane
Papër,Europe,41.05167,19.96083,Europe/Tirane
Otllak,Europe,40.74389,19.93528,Europe/Tirane
Novoselë,Europe,40.625,19.46694,Europe/Tirane
Nikël,Europe,41.44417,19.74833,Europe/Tirane
Ndroq,Europe,41.26389,19.65583,Europe/Tirane
Mamurras,Europe,41.5775,19.69222,Europe/Tirane
Lushnjë,Europe,40.94194,19.705,Europe/Tirane
Lezhë,Europe,41.78361,19.64361,Europe/Tirane
Laç,Europe,41.63556,19.71306,Europe/Tirane
Kutalli,Europe,40.78389,19.78667,Europe/Tirane
Kuçovë,Europe,40.80028,19.91667,Europe/Tirane
Krujë,Europe,41.50917,19.79278,Europe/Tirane
Kozarë,Europe,40.83083,19.90056,Europe/Tirane
Kavajë,Europe,41.18556,19.55694,Europe/Tirane
Kamëz,Europe,41.38167,19.76028,Europe/Tirane
Golem,Europe,40.96778,19.68528,Europe/Tirane
Fushë-Krujë,Europe,41.47833,19.71778,Europe/Tirane
Fier-Çifçi,Europe,40.71667,19.56667,Europe/Tirane
Fier,Europe,40.72389,19.55611,Europe/Tirane
Durrës,Europe,41.32355,19.45469,Europe/Tirane
Cërrik,Europe,41.03167,19.97583,Europe/Tirane
Berat,Europe,40.70583,19.95222,Europe/Tirane
Ballsh,Europe,40.59889,19.73472,Europe/Tirane
Bajram Curri,Europe,42.35734,20.07679,Europe/Tirane
Yeghegnadzor,Asia,39.76389,45.33239,Asia/Yerevan
Vedi,Asia,39.91291,44.72083,Asia/Yerevan
Vayk,Asia,39.69026,45.46919,Asia/Yerevan
Sisian,Asia,39.52191,46.02696,Asia/Yerevan
Kapan,Asia,39.20755,46.40576,Asia/Yerevan
Kajaran,Asia,39.15091,46.15673,Asia/Yerevan
Goris,Asia,39.51111,46.34168,Asia/Yerevan
Artashat,Asia,39.95484,44.54874,Asia/Yerevan
Ararat,Asia,39.85494,44.6947,Asia/Yerevan
Ararat village,Asia,39.83166,44.70489,Asia/Yerevan
Karmirgyugh,Asia,40.33103,45.14598,Asia/Yerevan
Margara,Asia,40.03332,44.18048,Asia/Yerevan
Zolakar,Asia,40.12512,45.38068,Asia/Yerevan
Yerevan,Asia,40.18111,44.51361,Asia/Yerevan
Yeranos,Asia,40.20428,45.19209,Asia/Yerevan
Vagharshapat,Asia,40.16557,44.29462,Asia/Yerevan
Yeghvard,Asia,40.32293,44.48418,Asia/Yerevan
Vardenis,Asia,40.1827,45.73156,Asia/Yerevan
Vardenik,Asia,40.13722,45.42914,Asia/Yerevan
Tashir,Asia,41.11922,44.28649,Asia/Yerevan
Stepanavan,Asia,41.00995,44.38531,Asia/Yerevan
Spitak,Asia,40.83131,44.27019,Asia/Yerevan
Nubarashen,Asia,40.09075,44.5519,Asia/Yerevan
Sevan,Asia,40.548,44.95314,Asia/Yerevan
Sarukhan,Asia,40.29169,45.13068,Asia/Yerevan
Proshyan,Asia,40.24731,44.41949,Asia/Yerevan
Parakar,Asia,40.16388,44.4057,Asia/Yerevan
Oshakan,Asia,40.26392,44.31671,Asia/Yerevan
Sardarapat,Asia,40.13206,44.00969,Asia/Yerevan
Nor Kharberd,Asia,40.09168,44.48053,Asia/Yerevan
Nor Geghi,Asia,40.31668,44.57785,Asia/Yerevan
Noratus,Asia,40.37793,45.18048,Asia/Yerevan
Nor Hachn,Asia,40.30296,44.58314,Asia/Yerevan
Nerkin Getashen,Asia,40.14172,45.27087,Asia/Yerevan
Mkhchyan,Asia,40.02228,44.4917,Asia/Yerevan
Metsavan,Asia,41.20156,44.22877,Asia/Yerevan
Masis,Asia,40.06595,44.43669,Asia/Yerevan
Martuni,Asia,40.14028,45.30232,Asia/Yerevan
Maralik,Asia,40.57595,43.87059,Asia/Yerevan
Lichk,Asia,40.15933,45.23467,Asia/Yerevan
Vanadzor,Asia,40.80456,44.4939,Asia/Yerevan
Karanlukh,Asia,40.10444,45.28972,Asia/Yerevan
Gavar,Asia,40.35398,45.12386,Asia/Yerevan
Ijevan,Asia,40.87877,45.14851,Asia/Yerevan
Hrazdan,Asia,40.5169,44.75591,Asia/Yerevan
Armavir,Asia,40.15446,44.03815,Asia/Yerevan
Gyumri,Asia,40.7942,43.84528,Asia/Yerevan
Gugark,Asia,40.8046,44.54025,Asia/Yerevan
Garni,Asia,40.11931,44.73442,Asia/Yerevan
Jrvezh,Asia,40.18889,44.62414,Asia/Yerevan
Dilijan,Asia,40.74037,44.86344,Asia/Yerevan
Davtashen,Asia,40.21642,44.48088,Asia/Yerevan
Charentsavan,Asia,40.40289,44.64447,Asia/Yerevan
Chambarak,Asia,40.59655,45.35498,Asia/Yerevan
Byureghavan,Asia,40.31335,44.59685,Asia/Yerevan
Byurakan,Asia,40.33894,44.27275,Asia/Yerevan
Berd,Asia,40.88066,45.38901,Asia/Yerevan
Azatan,Asia,40.71959,43.82727,Asia/Yerevan
Avan,Asia,40.21436,44.57846,Asia/Yerevan
Ashtarak,Asia,40.2991,44.36204,Asia/Yerevan
Artik,Asia,40.61918,43.97207,Asia/Yerevan
Arinj,Asia,40.23356,44.58209,Asia/Yerevan
Aragatsavan,Asia,40.32121,43.66205,Asia/Yerevan
Aparan,Asia,40.59297,44.35945,Asia/Yerevan
Alaverdi,Asia,41.09766,44.67316,Asia/Yerevan
Akhuryan,Asia,40.78081,43.90037,Asia/Yerevan
Abovyan,Asia,40.2717,44.63342,Asia/Yerevan
Zovuni,Asia,40.23307,44.51129,Asia/Yerevan
Kasakh,Asia,40.23555,44.45162,Asia/Yerevan
Metsamor,Asia,40.14459,44.11484,Asia/Yerevan
Ayntap,Asia,40.09659,44.4646,Asia/Yerevan
Geghhovit,Asia,40.10479,45.2855,Asia/Yerevan
Erebuni,Asia,40.13309,44.53009,Asia/Yerevan
Nor Nork,Asia,40.19661,44.5669,Asia/Yerevan
Nork-Marash,Asia,40.17417,44.54083,Asia/Yerevan
Ajapnyak,Asia,40.19917,44.47056,Asia/Yerevan
Kanaker-Zeytun,Asia,40.22,44.53833,Asia/Yerevan
Malatia-Sebastia,Asia,40.17396,44.4457,Asia/Yerevan
Kentron,Asia,40.17806,44.51303,Asia/Yerevan
Shengavit,Asia,40.1557,44.4779,Asia/Yerevan
Arabkir,Asia,40.20624,44.50365,Asia/Yerevan
Saurimo,Africa,-9.66078,20.39155,Africa/Luanda
Lucapa,Africa,-8.41915,20.74466,Africa/Luanda
Dundo,Africa,-7.36643,20.81557,Africa/Luanda
Chitato,Africa,-7.3,20.73333,Africa/Luanda
Cassanguidi,Africa,-7.48367,21.30339,Africa/Luanda
Muconda,Africa,-10.59236,21.31805,Africa/Luanda
Mavinga,Africa,-15.79171,20.35763,Africa/Luanda
Lumbala,Africa,-14.10165,21.43531,Africa/Luanda
Luau,Africa,-10.70727,22.22466,Africa/Luanda
Léua,Africa,-11.65753,20.44772,Africa/Luanda
Jamba,Africa,-17.5,22.66667,Africa/Luanda
Cameia,Africa,-11.69055,20.83922,Africa/Luanda
Dala,Africa,-11.03333,20.2,Africa/Luanda
Cazombo,Africa,-11.89355,22.9024,Africa/Luanda
Camanongue,Africa,-11.4361,20.16459,Africa/Luanda
Nzagi,Africa,-8.38549,15.30126,Africa/Luanda
Uíge,Africa,-7.60874,15.06131,Africa/Luanda
Tombôco,Africa,-6.80517,13.33017,Africa/Luanda
Soyo,Africa,-6.1349,12.36894,Africa/Luanda
Songo,Africa,-7.35207,14.84629,Africa/Luanda
Sanza Pombo,Africa,-7.31473,16.0024,Africa/Luanda
Quibaxe,Africa,-8.50055,14.58589,Africa/Luanda
Puri,Africa,-7.69468,15.65416,Africa/Luanda
Ambrizette,Africa,-7.23116,12.8666,Africa/Luanda
Negage,Africa,-7.75938,15.2722,Africa/Luanda
N'dalatando,Africa,-9.29782,14.91162,Africa/Luanda
Mussende,Africa,-9.95,14.8,Africa/Luanda
Mbanza Kongo,Africa,-6.26667,14.23833,Africa/Luanda
Maquela do Zombo,Africa,-6.05716,15.10971,Africa/Luanda
Malanje,Africa,-9.54015,16.34096,Africa/Luanda
Lucala,Africa,-9.27268,15.25206,Africa/Luanda
Lubalo,Africa,-9.15445,19.28136,Africa/Luanda
Luanda,Africa,-8.83682,13.23432,Africa/Luanda
Cunda diá Baze,Africa,-8.90769,17.05339,Africa/Luanda
Golungo Alto,Africa,-9.13333,14.76667,Africa/Luanda
Dondo,Africa,-9.68456,14.42788,Africa/Luanda
Dondo,Africa,-9.05,15.31667,Africa/Luanda
Damba,Africa,-6.67868,15.13128,Africa/Luanda
Cuímba,Africa,-6.12085,14.62086,Africa/Luanda
Cuilo,Africa,-8.23619,19.52566,Africa/Luanda
Cuango-Luzamba,Africa,-9.14583,18.04453,Africa/Luanda
Cazombo,Africa,-8.73204,15.37124,Africa/Luanda
Caxito,Africa,-8.57848,13.66425,Africa/Luanda
Cangandala,Africa,-9.78333,16.43333,Africa/Luanda
Camabatela,Africa,-8.18812,15.37495,Africa/Luanda
Calandula,Africa,-9.08981,15.95382,Africa/Luanda
Cacuso,Africa,-9.42102,15.74668,Africa/Luanda
Cacongo,Africa,-5.23333,12.13333,Africa/Luanda
Cabinda,Africa,-5.56198,12.19476,Africa/Luanda
Buco Zau,Africa,-4.76667,12.55,Africa/Luanda
Belize,Africa,-4.65,12.76667,Africa/Luanda
Barra do Dande,Africa,-8.47175,13.37011,Africa/Luanda
Banza Damba,Africa,-6.88831,15.01522,Africa/Luanda
Bailundo,Africa,-9.57499,15.99442,Africa/Luanda
Ambriz,Africa,-7.86232,13.11935,Africa/Luanda
Gama,Africa,-8.5675,13.47639,Africa/Luanda
Buco,Africa,-9.55833,16.14639,Africa/Luanda
Xangongo,Africa,-16.7444,14.97494,Africa/Luanda
Alto Hama,Africa,-12.23333,15.55,Africa/Luanda
Uacu Cungo,Africa,-11.35669,15.11719,Africa/Luanda
Virei,Africa,-15.727,12.94961,Africa/Luanda
Ucuma,Africa,-12.96121,15.05958,Africa/Luanda
Ucu Seles,Africa,-11.41237,14.30663,Africa/Luanda
Tômbua,Africa,-15.80394,11.84485,Africa/Luanda
Sumbe,Africa,-11.20605,13.84371,Africa/Luanda
Quipungo,Africa,-14.81909,14.53504,Africa/Luanda
Quilenda,Africa,-11.46667,14.13333,Africa/Luanda
Quibala,Africa,-10.73366,14.97995,Africa/Luanda
Porto Amboim,Africa,-10.73251,13.76844,Africa/Luanda
Ondjiva,Africa,-17.06667,15.73333,Africa/Luanda
Nharêa,Africa,-11.47512,16.96496,Africa/Luanda
Mossamedes,Africa,-15.19611,12.15222,Africa/Luanda
Mungo,Africa,-11.83268,16.23613,Africa/Luanda
Menongue,Africa,-14.6585,17.69099,Africa/Luanda
Matala,Africa,-14.73272,15.03479,Africa/Luanda
Luquembo,Africa,-10.73912,17.71766,Africa/Luanda
Luena,Africa,-11.78333,19.91667,Africa/Luanda
Lubango,Africa,-14.91717,13.4925,Africa/Luanda
Longonjo,Africa,-12.90795,15.24845,Africa/Luanda
Londuimbali,Africa,-12.23712,15.31697,Africa/Luanda
Lobito,Africa,-12.3644,13.53601,Africa/Luanda
Cuíto,Africa,-12.38333,16.93333,Africa/Luanda
Catchiungo,Africa,-12.56598,16.22589,Africa/Luanda
Huambo,Africa,-12.77611,15.73917,Africa/Luanda
Ganda,Africa,-13.01592,14.63502,Africa/Luanda
Gabela,Africa,-10.85147,14.37993,Africa/Luanda
Ecunna,Africa,-12.67889,15.50556,Africa/Luanda
Ebo,Africa,-11.05,14.71667,Africa/Luanda
Dombe Grande,Africa,-12.95167,13.1025,Africa/Luanda
Dala,Africa,-13.78333,16.71667,Africa/Luanda
Cunhinga,Africa,-12.23333,16.78333,Africa/Luanda
Cuemba,Africa,-12.15,18.08333,Africa/Luanda
Cuchi,Africa,-14.64978,16.89929,Africa/Luanda
Cubal,Africa,-13.03865,14.2455,Africa/Luanda
Conda,Africa,-11.10862,14.33621,Africa/Luanda
Chongoroi,Africa,-13.57418,13.94062,Africa/Luanda
Chitembo,Africa,-13.55,16.63333,Africa/Luanda
Chissamba,Africa,-12.16667,17.33333,Africa/Luanda
Chipindo,Africa,-13.81419,15.79041,Africa/Luanda
Chinguar,Africa,-12.55708,16.33805,Africa/Luanda
Chicomba,Africa,-14.13333,14.91667,Africa/Luanda
Chibia,Africa,-15.18315,13.69909,Africa/Luanda
